   t         Theta F_0 0       Theta F_0 0.5       Theta F_0 1.2
  9.15   0.62232481510E+01   0.56045653872E+01   0.30338168496E+01
  9.18   0.62212155242E+01   0.56139766136E+01   0.30109584294E+01
  9.21   0.62192691239E+01   0.56237407870E+01   0.29881715365E+01
  9.24   0.62174094051E+01   0.56338546147E+01   0.29654562052E+01
  9.27   0.62156367376E+01   0.56443145721E+01   0.29428126569E+01
  9.30   0.62139514077E+01   0.56551169002E+01   0.29202412992E+01
  9.33   0.62123536185E+01   0.56662576035E+01   0.28977427237E+01
  9.36   0.62108434913E+01   0.56777324476E+01   0.28753177048E+01
  9.39   0.62094210669E+01   0.56895369577E+01   0.28529671977E+01
  9.42   0.62080863065E+01   0.57016664168E+01   0.28306923368E+01
  9.45   0.62068390930E+01   0.57141158646E+01   0.28084944335E+01
  9.48   0.62056792327E+01   0.57268800971E+01   0.27863749744E+01
  9.51   0.62046064559E+01   0.57399536660E+01   0.27643356190E+01
  9.54   0.62036204190E+01   0.57533308785E+01   0.27423781976E+01
  9.57   0.62027207054E+01   0.57670057984E+01   0.27205047090E+01
  9.60   0.62019068276E+01   0.57809722465E+01   0.26987173176E+01
  9.63   0.62011782281E+01   0.57952238025E+01   0.26770183511E+01
  9.66   0.62005342813E+01   0.58097538066E+01   0.26554102977E+01
  9.69   0.61999742949E+01   0.58245553620E+01   0.26338958029E+01
  9.72   0.61994975118E+01   0.58396213381E+01   0.26124776664E+01
  9.75   0.61991031116E+01   0.58549443736E+01   0.25911588390E+01
  9.78   0.61987902123E+01   0.58705168811E+01   0.25699424187E+01
  9.81   0.61985578719E+01   0.58863310510E+01   0.25488316472E+01
  9.84   0.61984050904E+01   0.59023788573E+01   0.25278299058E+01
  9.87   0.61983308115E+01   0.59186520630E+01   0.25069407116E+01
  9.90   0.61983339241E+01   0.59351422261E+01   0.24861677124E+01
  9.93   0.61984132648E+01   0.59518407068E+01   0.24655146826E+01
  9.96   0.61985676188E+01   0.59687386748E+01   0.24449855183E+01
  9.99   0.61987957225E+01   0.59858271167E+01   0.24245842317E+01
 10.02   0.61990962652E+01   0.60030968449E+01   0.24043149461E+01
 10.05   0.61994678908E+01   0.60205385062E+01   0.23841818901E+01
 10.08   0.61999091997E+01   0.60381425913E+01   0.23641893917E+01
 10.11   0.62004187508E+01   0.60558994444E+01   0.23443418719E+01
 10.14   0.62009950636E+01   0.60737992735E+01   0.23246438383E+01
 10.17   0.62016366196E+01   0.60918321610E+01   0.23050998783E+01
 10.20   0.62023418648E+01   0.61099880750E+01   0.22857146524E+01
 10.23   0.62031092111E+01   0.61282568803E+01   0.22664928861E+01
 10.26   0.62039370388E+01   0.61466283501E+01   0.22474393632E+01
 10.29   0.62048236979E+01   0.61650921780E+01   0.22285589172E+01
 10.32   0.62057675104E+01   0.61836379902E+01   0.22098564235E+01
 10.35   0.62067667721E+01   0.62022553578E+01   0.21913367912E+01
 10.38   0.62078197546E+01   0.62209338093E+01   0.21730049539E+01
 10.41   0.62089247073E+01   0.62396628430E+01   0.21548658616E+01
 10.44   0.62100798587E+01   0.62584319399E+01   0.21369244707E+01
 10.47   0.62112834192E+01   0.62772305762E+01   0.21191857354E+01
 10.50   0.62125335823E+01   0.12862929068E-01   0.21016545980E+01
 10.53   0.62138285266E+01   0.31689117378E-01   0.20843359789E+01
 10.56   0.62151664178E+01   0.50513371538E-01   0.20672347669E+01
 10.59   0.62165454104E+01   0.69325274302E-01   0.20503558094E+01
 10.62   0.62179636496E+01   0.88114465696E-01   0.20337039017E+01
 10.65   0.62194192732E+01   0.10687065485E+00   0.20172837771E+01
 10.68   0.62209104129E+01   0.12558363153E+00   0.20011000963E+01
 10.71   0.62224351968E+01   0.14424327739E+00   0.19851574368E+01
 10.74   0.62239917503E+01   0.16283957676E+00   0.19694602827E+01
 10.77   0.62255781986E+01   0.18136262717E+00   0.19540130140E+01
 10.80   0.62271926680E+01   0.19980264935E+00   0.19388198955E+01
 10.83   0.62288332873E+01   0.21814999678E+00   0.19238850669E+01
 10.86   0.62304981901E+01   0.23639516481E+00   0.19092125320E+01
 10.89   0.62321855159E+01   0.25452879919E+00   0.18948061481E+01
 10.92   0.62338934116E+01   0.27254170415E+00   0.18806696154E+01
 10.95   0.62356200337E+01   0.29042484983E+00   0.18668064673E+01
 10.98   0.62373635490E+01   0.30816937928E+00   0.18532200596E+01
 11.01   0.62391221368E+01   0.32576661472E+00   0.18399135608E+01
 11.04   0.62408939898E+01   0.34320806339E+00   0.18268899424E+01
 11.07   0.62426773158E+01   0.36048542261E+00   0.18141519687E+01
 11.10   0.62444703391E+01   0.37759058444E+00   0.18017021879E+01
 11.13   0.62462713019E+01   0.39451563960E+00   0.17895429229E+01
 11.16   0.62480784653E+01   0.41125288086E+00   0.17776762623E+01
 11.19   0.62498901109E+01   0.42779480583E+00   0.17661040517E+01
 11.22   0.62517045419E+01   0.44413411917E+00   0.17548278856E+01
 11.25   0.62535200845E+01   0.46026373426E+00   0.17438490995E+01
 11.28   0.62553350888E+01   0.47617677423E+00   0.17331687619E+01
 11.31   0.62571479299E+01   0.49186657257E+00   0.17227876679E+01
 11.34   0.62589570094E+01   0.50732667310E+00   0.17127063315E+01
 11.37   0.62607607561E+01   0.52255082954E+00   0.17029249795E+01
 11.40   0.62625576269E+01   0.53753300453E+00   0.16934435457E+01
 11.43   0.62643461083E+01   0.55226736820E+00   0.16842616651E+01
 11.46   0.62661247168E+01   0.56674829635E+00   0.16753786685E+01
 11.49   0.62678919999E+01   0.58097036817E+00   0.16667935782E+01
 11.52   0.62696465372E+01   0.59492836360E+00   0.16585051038E+01
 11.55   0.62713869409E+01   0.60861726031E+00   0.16505116376E+01
 11.58   0.62731118569E+01   0.62203223042E+00   0.16428112524E+01
 11.61   0.62748199651E+01   0.63516863683E+00   0.16354016978E+01
 11.64   0.62765099804E+01   0.64802202934E+00   0.16282803980E+01
 11.67   0.62781806532E+01   0.66058814051E+00   0.16214444500E+01
 11.70   0.62798307701E+01   0.67286288127E+00   0.16148906222E+01
 11.73   0.62814591544E+01   0.68484233645E+00   0.16086153531E+01
 11.76   0.62830646663E+01   0.69652276000E+00   0.16026147510E+01
 11.79   0.14608970552E-02   0.70790057021E+00   0.15968845939E+01
 11.82   0.30173970696E-02   0.71897234478E+00   0.15914203299E+01
